Department,JobRole,Age,MonthlyIncome,JobSatisfaction,OverTime,WorkLifeBalance,risk_score,risk_level,Attrition
Sales,Sales Executive,41,5993,4,Yes,1,55,High Risk,Yes
Research & Development,Research Scientist,49,5130,2,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,37,2090,3,Yes,3,30,Medium Risk,Yes
Research & Development,Research Scientist,33,2909,3,Yes,3,30,Medium Risk,No
Research & Development,Laboratory Technician,27,3468,2,No,3,40,Medium Risk,No
Research & Development,Laboratory Technician,32,3068,4,No,2,20,Low Risk,No
Research & Development,Laboratory Technician,59,2670,1,Yes,2,75,High Risk,No
Research & Development,Laboratory Technician,30,2693,3,No,3,10,Low Risk,No
Research & Development,Manufacturing Director,38,9526,3,No,3,0,Low Risk,No
Research & Development,Healthcare Representative,36,5237,3,No,2,30,Medium Risk,No
Research & Development,Laboratory Technician,35,2426,2,No,3,50,High Risk,No
Research & Development,Laboratory Technician,29,4193,3,Yes,3,20,Low Risk,No
Research & Development,Research Scientist,31,2911,3,No,2,55,High Risk,No
Research & Development,Laboratory Technician,34,2661,4,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,28,2028,3,Yes,3,30,Medium Risk,Yes
Research & Development,Manufacturing Director,29,9980,1,No,3,50,High Risk,No
Research & Development,Research Scientist,32,3298,2,Yes,2,80,High Risk,No
Research & Development,Laboratory Technician,22,2935,4,Yes,2,50,High Risk,No
Sales,Manager,53,15427,4,No,3,15,Low Risk,No
Research & Development,Research Scientist,38,3944,4,Yes,3,20,Low Risk,No
Research & Development,Manufacturing Director,24,4011,3,No,2,35,Medium Risk,No
Sales,Sales Representative,36,3407,1,No,3,25,Medium Risk,Yes
Research & Development,Research Director,34,11994,2,No,3,40,Medium Risk,No
Research & Development,Research Scientist,21,1232,4,No,3,10,Low Risk,No
Research & Development,Research Scientist,34,2960,1,No,3,50,High Risk,Yes
Research & Development,Manager,53,19094,3,No,2,30,Medium Risk,No
Research & Development,Research Scientist,32,3919,1,Yes,3,70,High Risk,Yes
Sales,Sales Executive,42,6825,2,No,3,35,Medium Risk,No
Research & Development,Healthcare Representative,44,10248,4,No,3,25,Medium Risk,No
Sales,Manager,46,18947,1,No,2,60,High Risk,No
Research & Development,Laboratory Technician,33,2496,4,No,3,10,Low Risk,No
Research & Development,Healthcare Representative,44,6465,4,Yes,4,20,Low Risk,No
Research & Development,Laboratory Technician,30,2206,3,No,3,10,Low Risk,No
Sales,Sales Representative,39,2086,4,No,4,10,Low Risk,Yes
Research & Development,Research Scientist,24,2293,4,Yes,2,65,High Risk,Yes
Research & Development,Research Scientist,43,2645,3,No,2,30,Medium Risk,No
Sales,Sales Representative,50,2683,3,Yes,3,45,Medium Risk,Yes
Sales,Sales Representative,35,2014,4,No,3,10,Low Risk,No
Research & Development,Research Scientist,36,3419,1,Yes,4,60,High Risk,No
Sales,Sales Executive,33,5376,1,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,35,1951,4,No,3,10,Low Risk,No
Research & Development,Laboratory Technician,27,2341,1,No,3,35,Medium Risk,No
Research & Development,Laboratory Technician,26,2293,3,No,2,45,Medium Risk,Yes
Sales,Sales Executive,27,8726,3,No,3,0,Low Risk,No
Research & Development,Laboratory Technician,30,4011,4,No,3,0,Low Risk,No
Research & Development,Research Director,41,19545,3,No,3,25,Medium Risk,Yes
Sales,Sales Executive,34,4568,3,No,3,25,Medium Risk,No
Research & Development,Research Scientist,37,3022,2,No,3,40,Medium Risk,No
Sales,Sales Executive,46,5772,4,Yes,3,35,Medium Risk,No
Research & Development,Laboratory Technician,35,2269,4,No,3,10,Low Risk,No
Research & Development,Laboratory Technician,48,5381,3,Yes,3,35,Medium Risk,Yes
Research & Development,Laboratory Technician,28,3441,3,Yes,2,40,Medium Risk,Yes
Sales,Sales Executive,44,5454,1,Yes,2,80,High Risk,No
Research & Development,Healthcare Representative,35,9884,1,Yes,3,45,Medium Risk,No
Sales,Sales Executive,26,4157,4,Yes,2,40,Medium Risk,No
Research & Development,Research Director,33,13458,4,Yes,3,45,Medium Risk,No
Sales,Sales Executive,35,9069,1,No,2,60,High Risk,No
Research & Development,Laboratory Technician,35,4014,1,Yes,3,45,Medium Risk,No
Research & Development,Laboratory Technician,31,5915,4,No,2,20,Low Risk,No
Research & Development,Manufacturing Director,37,5993,3,No,4,15,Low Risk,No
Research & Development,Manufacturing Director,32,6162,4,Yes,3,45,Medium Risk,No
Research & Development,Laboratory Technician,38,2406,4,No,3,20,Low Risk,No
Research & Development,Research Director,50,18740,3,Yes,2,65,High Risk,No
Sales,Sales Executive,59,7637,1,No,2,70,High Risk,No
