overall_rating,pros_sentiment,cons_sentiment,pros_sentiment_score,cons_sentiment_score,overall_sentiment
4,Positive,Negative,0.7269,-0.571,Positive
1,Neutral,Negative,0.0,-0.3283,Negative
4,Positive,Positive,0.5267,0.2235,Positive
4,Neutral,Negative,0.0,-0.296,Negative
4,Positive,Negative,0.3612,-0.5216,Negative
4,Positive,Negative,0.92,-0.3818,Positive
4,Positive,Neutral,0.5994,0.0,Positive
5,Positive,Neutral,0.765,0.0,Positive
3,Positive,Negative,0.6249,-0.2263,Positive
5,Positive,Neutral,0.4404,0.0,Positive
4,Positive,Negative,0.4404,-0.296,Positive
3,Positive,Positive,0.6369,0.5023,Positive
3,Positive,Negative,0.312,-0.5719,Negative
4,Positive,Positive,0.4215,0.2263,Positive
4,Positive,Negative,0.7906,-0.2732,Positive
4,Positive,Positive,0.5859,0.4404,Positive
3,Positive,Negative,0.3612,-0.4449,Positive
4,Positive,Positive,0.9423,0.4404,Positive
4,Positive,Negative,0.765,-0.1027,Positive
4,Positive,Positive,0.7506,0.4005,Positive
2,Neutral,Negative,0.0,-0.34,Negative
5,Positive,Negative,0.8271,-0.296,Positive
3,Positive,Negative,0.4404,-0.6072,Negative
5,Positive,Negative,0.3818,-0.296,Positive
3,Positive,Negative,0.8658,-0.9783,Negative
1,Positive,Positive,0.5719,0.5267,Positive
4,Positive,Negative,0.6705,-0.296,Positive
4,Positive,Negative,0.9545,-0.4976,Positive
2,Neutral,Negative,0.0,-0.6597,Negative
2,Positive,Negative,0.7964,-0.6517,Positive
5,Positive,Positive,0.9606,0.6682,Positive
4,Positive,Negative,0.6872,-0.2755,Positive
3,Neutral,Negative,0.0,-0.8126,Negative
3,Negative,Positive,-0.7906,0.5729,Negative
5,Positive,Negative,0.8074,-0.3182,Positive
2,Positive,Negative,0.7184,-0.9684,Negative
2,Neutral,Positive,0.0,0.5563,Positive
3,Positive,Neutral,0.9242,0.0,Positive
4,Positive,Neutral,0.6249,0.0,Positive
3,Positive,Neutral,0.3818,0.0,Positive
4,Positive,Negative,0.4404,-0.4449,Neutral
3,Positive,Neutral,0.7964,0.0,Positive
4,Positive,Positive,0.4404,0.5106,Positive
4,Positive,Negative,0.9413,-0.4404,Positive
5,Positive,Negative,0.2263,-0.3612,Positive
5,Positive,Negative,0.7717,-0.296,Positive
4,Positive,Negative,0.6249,-0.1027,Positive
4,Positive,Positive,0.9411,0.5267,Positive
4,Positive,Neutral,0.936,0.0,Positive
4,Positive,Positive,0.3612,0.3134,Positive
2,Positive,Negative,0.4927,-0.1027,Positive
4,Neutral,Positive,0.0,0.1779,Positive
4,Positive,Neutral,0.8885,0.0,Positive
1,Positive,Negative,0.8689,-0.3182,Positive
4,Positive,Negative,0.437,-0.5859,Negative
4,Positive,Positive,0.7184,0.3182,Positive
3,Positive,Positive,0.7964,0.3818,Positive
4,Positive,Positive,0.9273,0.3182,Positive
4,Positive,Negative,0.9096,-0.4767,Positive
3,Positive,Positive,0.8399,0.1027,Positive
4,Positive,Neutral,0.7832,0.0,Positive
4,Positive,Negative,0.7224,-0.4767,Positive
5,Positive,Neutral,0.8481,0.0,Positive
4,Positive,Positive,0.6369,0.5106,Positive
4,Positive,Negative,0.8519,-0.5216,Positive
3,Positive,Positive,0.5256,0.1326,Positive
3,Positive,Positive,0.8271,0.1779,Positive
2,Positive,Positive,0.6249,0.3818,Positive
4,Negative,Neutral,-0.3182,0.0,Negative
3,Positive,Positive,0.4588,0.4939,Positive
1,Neutral,Neutral,0.0,0.0258,Negative
4,Positive,Positive,0.7906,0.0516,Positive
4,Positive,Neutral,0.8979,0.0,Positive
5,Positive,Neutral,0.4019,0.0,Positive
5,Positive,Positive,0.9887,0.0999,Positive
4,Positive,Neutral,0.4404,0.0,Positive
5,Positive,Neutral,0.6369,0.0,Positive
4,Positive,Neutral,0.3818,0.0,Positive
1,Negative,Negative,-0.4023,-0.8555,Negative
3,Positive,Negative,0.7717,-0.2263,Positive
1,Neutral,Negative,0.0,-0.9199,Negative
4,Positive,Positive,0.4404,0.25,Positive
3,Positive,Negative,0.6486,-0.4588,Positive
4,Positive,Neutral,0.9411,0.0,Positive
5,Positive,Negative,0.7845,-0.4226,Positive
5,Positive,Negative,0.7713,-0.1027,Positive
3,Positive,Negative,0.6486,-0.0516,Positive
3,Positive,Negative,0.7351,-0.296,Positive
5,Positive,Neutral,0.7906,0.0,Positive
5,Positive,Positive,0.9839,0.1779,Positive
1,Positive,Negative,0.3818,-0.1531,Positive
2,Positive,Neutral,0.6249,0.0,Positive
3,Positive,Positive,0.836,0.7512,Positive
4,Negative,Neutral,-0.2023,0.0,Positive
5,Positive,Positive,0.9729,0.9268,Positive
4,Positive,Negative,0.8384,-0.2235,Positive
4,Neutral,Neutral,0.0,0.0,Positive
3,Positive,Positive,0.743,0.25,Positive
3,Positive,Negative,0.5106,-0.1779,Negative
2,Positive,Positive,0.872,0.5152,Positive
1,Negative,Negative,-0.7449,-0.7269,Negative
5,Positive,Neutral,0.6249,0.0,Positive
3,Positive,Neutral,0.6908,-0.0083,Positive
3,Positive,Neutral,0.9136,0.0,Positive
1,Negative,Positive,-0.1531,0.5423,Positive
5,Positive,Negative,0.4215,-0.1027,Negative
5,Positive,Positive,0.9022,0.4215,Positive
4,Positive,Neutral,0.2944,0.0,Positive
5,Positive,Neutral,0.34,0.0,Positive
5,Neutral,Negative,0.0,-0.2732,Negative
